institutioncode,institution,collectioncode,catalognumber,recordnumber,scientificname,kingdom,phylum,class,order,family,clade,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,vernacularname,sex
UWBM,University of Washington Burke Museum,Bird,82512,,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82603,,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82614,,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82629,,Hylocharis leucotis,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Hylocharis,,leucotis,,species,,White-eared Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82674,,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,82686,,Basilinna xantusii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Basilinna,,xantusii,,species,,Xantus's Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82688,,Basilinna xantusii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Basilinna,,xantusii,,species,,Xantus's Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,82707,,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82713,,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,82747,,Amazilia violiceps,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82749,,Amazilia violiceps,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,82751,,Amazilia beryllina,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,beryllina,,species,,Berylline Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82755,,Amazilia violiceps,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82757,,Amazilia beryllina,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,beryllina,,species,,Berylline Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,82871,,Amazilia candida,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,candida,,species,,White-bellied Emerald,female
UWBM,University of Washington Burke Museum,Bird,82885,,Amazilia beryllina,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,beryllina,,species,,Berylline Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,82888,,Amazilia beryllina,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,beryllina,,species,,Berylline Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,83941,,Amazilia violiceps,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,83946,,Amazilia rutila,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,rutila,,species,,Cinnamon Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,83954,,Amazilia violiceps,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,84007,,Amazilia violiceps,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,84016,,Amazilia rutila,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,rutila,,species,,Cinnamon Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,84058,,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,84074,,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,89048,,Amazilia violiceps,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,89049,,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,male
