UWBM,Bird,89048,,Amazilia violiceps,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,male,present,wing | tissue,
UWBM,Bird,76116,,Amazilia yucatanensis,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,yucatanensis,,species,,Buff-bellied Hummingbird,female,present,round/wing | tissue,
CM,Birds,S10269,DSW 4539,Amazilia yucatanensis,,Apodiformes | Trochilidae |  | AMAZILIA,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,yucatanensis,,species,,,male,present,skeleton | wing,
LSUMZ,Birds,168149,,Amazilia yucatanensis,,|  |  |  |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,yucatanensis,,species,,,,present,Skeleton & Spread Wing,
UWBM,Bird,56041,,Anthracothorax prevostii,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Anthracothorax,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Anthracothorax,,prevostii,,species,,Green-breasted Mango,male,present,round/wing | tissue,
UWBM,Bird,56031,,Anthracothorax prevostii,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Anthracothorax,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Anthracothorax,,prevostii,,species,,Green-breasted Mango,male,present,round/wing | tissue,
CM,Birds,S10071,DSW 4239,Anthracothorax prevostii,,Apodiformes | Trochilidae |  | ANTHRACOTHORAX,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Anthracothorax,,prevostii,,species,,,female,present,skeleton | wing,
CM,Birds,S10285,DSW 4566,Anthracothorax prevostii,,Apodiformes | Trochilidae |  | ANTHRACOTHORAX,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Anthracothorax,,prevostii,,species,,,female,present,skeleton | wing,
UWBM,Bird,65256,,Anthracothorax viridis,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Anthracothorax,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Anthracothorax,,viridis,,species,,Green Mango,male,present,round/wing | tissue,
UWBM,Bird,65257,,Anthracothorax viridis,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Anthracothorax,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Anthracothorax,,viridis,,species,,Green Mango,male,present,round/wing | tissue,
MSB,Bird specimens,MSB:Bird:44297,,Archilochus alexandri,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Archilochus,,alexandri,,species,,,male,,"tissue (frozen); wing, spread (dry); liver, muscle (frozen); heart, liver, muscle (frozen); skeleton",
MSB,Bird specimens,MSB:Bird:44298,,Archilochus alexandri,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Archilochus,,alexandri,,species,,,male,,"heart, liver, muscle (frozen); wing, spread (dry); liver, muscle (frozen); skeleton",
MSB,Bird specimens,MSB:Bird:46465,,Archilochus alexandri,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Archilochus,,alexandri,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); heart, liver, muscle (frozen); eye (frozen); kidney (frozen); wing, spread (dry)",
MSB,Bird specimens,MSB:Bird:46466,,Archilochus alexandri,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Archilochus,,alexandri,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); kidney (frozen); eye (frozen); wing, spread (dry)",
MSB,Bird specimens,MSB:Bird:46468,,Archilochus alexandri,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Archilochus,,alexandri,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); heart, liver, muscle (frozen); eye (frozen); kidney (frozen); wing, spread (dry)",
UTEP,Bird specimens,UTEP:Bird:2205,,Archilochus alexandri,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Archilochus,,alexandri,,species,,,male,,skeleton; feather; wing,
UWBM,Bird,37522,,Archilochus alexandri,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Archilochus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,,alexandri,,species,,Black-chinned Hummingbird,male,present,skeleton | wing,
